id,text,label,cot
1084__aggregate,"Alps and kangaroos. 

Also, local fauna is either venomous or has double penis (resp. double vagina): https://en.wikipedia.org/wiki/Marsupial#Reproductive_system
",[],The author is presenting facts without expressing any moral sentiment.
1243__aggregate,"Every presidential candidate have friends among these 9 billionaires and some media pandering to them and their voters. Even François ""I hate finance"" Hollande was friend with de Lacharrière and Niel supported him while Hamon is dating a LVMH high executive. Let's not talk about Le Pen who's a Putin spokesperson at this point.

Also Drahi and Dassault aren't supporting him, they're supporting Fillon/Les Républicains. Just watch BFM TV, read Le Point, Le Figaro to see them overly criticizing Macron and defending Fillon, same for Lagardère's Paris Match/RMC or Bolloré's iTélé.",['Loyalty'],"The author talks about loyalty by highlighting how each presidential candidate, despite their public personas, maintains connections with influential billionaires and media outlets, thereby staying aligned with powerful interests to secure support and avoid alienating key backers."
12765__aggregate,Did anyone watch Nigel Farage rebuke the EU? It was quite interesting!,[],"The author is asking a question, expressing no moral sentiment."
13038__aggregate,Ignore statistical probably and just believe everything the scumbag media tells out about “no evidence of voter fraud.”,[],"The author expresses distrust in the media, urging readers to disregard statistical probabilities"
13295__aggregate,good for them! doing the shit none of us have the balls to do! i respect you so much!,[],"The author shows admiration for the other person, without expressing any moral sentiment."
1331__aggregate,Because Le Pen is alt right and is very dangerous for the peace of europe and the world.,['Care'],"The author is concerned about the potential threat Le Pen poses to the peace and stability of Europe and the world, expressing care."
13350__aggregate,"It's sarcasm, no need to insult me friend, I understand the frustration of actual Trump Supporter mentality",[],"The statement the author made is sarcastic and acknowledges understanding the frustration of Trump supporters, but it doesn't express a clear moral sentiment"
13453__aggregate,Fuck going up and down hills. And stairs too for that matter.,[],The author's statement is a personal expression of dislike
13475__aggregate,"Wouldn't hold out much hope for the tape deck, though.",[],"The author expresses doubt about the functionality of a tape deck, without any moral sentiment."
13568__aggregate,I don’t know why. Anything to create fear and panic and more division I guess! Crazy! Her family looks wonderful!,['Care'],"The author expresses concern about the negative impact of spreading fear, panic, and division, while also showing empathy and positive regard for the well-being of the family mentioned, expressing care."
13638__aggregate,How about get laws that regulate entities like this? Deleting Facebook doesn't do anything.,[],"The author gives a practical suggestion, without expressing any moral sentiment."
13726__aggregate,Holy fuck what happened to the mute?!? This moderator has no control.,[],The author expresses frustration at the moderator's lack of control.
14265__aggregate,"Youre right, the one who has 1350 looks like he's winning, but the one who had a holiday is experiencing happiness, which puts them on the path to actually win.",[],"The author is comparing two forms of success, expressing no moral sentiment."
14336__aggregate,"No, breitbart. Not even once.

Breitbart doesn’t want you to vote by mail. But doesn’t care that the president and all elected officials do. Fuck outta here. What they really want is to help suppress votes. 


Also, you should probably worry about republicans more, they’re the ones always getting caught committing voter fraud. Like Trump and his whole family, again.",[],"The author expresses criticism on breitbart's stance on voting, expressing no moral sentiment."
14347__aggregate,That sounds so refreshing... but I’m a very petite girl so I’m not sure they’d go for me,[],The author expresses personal concern about suitability rather than expressing any moral sentiment.
14525__aggregate,"Be my human shield bigot!

White people are immune to police brutality anyway.",['Equality'],"The author expresses a concern for equality by highlighting an issue of racial disparity in experiences with police brutality. It addresses the unfairness of the situation by implying that certain groups, particularly white people, are treated differently from others"
14529__aggregate,"The dress design didn’t have anything to do with child sexual assault victims. 


https://www.papermag.com/alexander-mcqueen-dancing-girls-dress-2645945769.html",[],"The author aims to clarify a misconception, without giving their personal opinion on the matter."
14854__aggregate,"Breaking news! 

Newsome fucks up again. 

How are the Lakers doing, Ted?",[],"The author is expressing their criticism for a public figure, expressing no moral sentiment. "
15086__aggregate,Sounds more apathetic than smart but yeah it just shows how we don’t really want to work we just want to survive doing the minimum and suffering less.,['Care'],"The author's statement expresses care because it states concern about people's attitudes toward work and survival, quality of life and the tendency to seek the least amount of suffering."
15263__aggregate,"Religion is not the only group that does that.

And most Christians do not do that.",[],The author's statement doesn't convey a moral sentiment because it is a observation aimed at addressing a misconception about religion and its followers. 
1806__aggregate,I kept being told on /r/worldnews that Le Pen was going to be president. Certainly something went wrong in the vote-counting.,[],The author expresses doubt or suspicion about the accuracy of vote-counting without making any ethical judgments
1982__aggregate,"&gt; But in the long one perhaps it's better for a disaster like Trump to happen to initiate the change. 

If the same kind of reasoning is used in the French elections, Marine Le Pen will win, break the EU, and there will be NO fixing that. 

It will be a change, however. And it won't impact France the worst.",[],"The author discusses possible political outcomes, without expressing moral sentiment."
2366__aggregate,"Stop with this Le Pen and World leaders endorsing Macron. You guys making me nervous, hahaha.",[],The author expresses personal anxiety and amusement about political endorsements
2530__aggregate,"The thing to bear in mind is that Fillon is pronounced almost the exact same as the French word, fion. Fion means asshole.

Whoever blabbed about the corruption denied the world a President Asshole. Fuck this gay earth. 

On the plus side:

https://www.youtube.com/watch?v=9ugnv2RAjaM",[],The author's statement expresses personal dissatisfaction rather than expressing moral sentiment.
2544__aggregate,"They hope to become rich without any formal education beyond college. And when politician say them ""not possible"", they go vote for Le Pen.

This victim blaming of politician need to stop. It's not their fucking fault the economy doesn't allow uneducated people to become rich anymore.",['Proportionality'],The author's statement reflects proportionality by arguing that it is unreasonable to blame politicians for economic conditions that make it difficult for people with limited education to become wealthy.
2737__aggregate,"This. I think moderate liberals have been pushed into the radical center without realizing it. We have some form of cognitive dissonance being here.

Macron, Merkel, and Obama all fit into some social democratic ideas. They're symbols ideological neoliberals have embraced as the closest embodiment to their ideas, but the ideology really is radical globalist markets.

This sub broadens Neoliberal radicals to include moderate liberals, whether we can all get along will be an interesting task.",[],The author's statement analyzes and discusses political ideologies and their evolution
2927__aggregate,"Policy doesn't matter in elections anymore, only narrative and charisma. The more charismatic candidate has won every election since Eisenhower with the exception of 1972 because of Vietnam. 

The best chance of winning is someone who can consolidate and communicate your message the best. Both the progressive left and the center could win the primary, it'll just be whoever develop the stronger message.

If you want a centrist to win the Democratic nomination, find one who can get through to the people the most like Macron did in France.

tl;dr communication is everything.",[],"The author's statement focuses on the strategic aspects of winning elections—narrative, charisma, and communication, without expressing any moral sentiment."
2964__aggregate,If you think she deserves any punishment for publishing an image depicting what a real group actually did then you are an insane person. Free speech aside it should not be a crime to post an image of something that happened. If you think that what happened is horrible your are mad at ISIS not Le Pen,[],The author is defending the act of publishing an image related to real event.
3187__aggregate,"The EU is scared.  They cannot afford a Le Pen victory because they would lose France. This, coupled with the loss of the UK,  would kill the EU.",[],the author discusses the potential political consequences of a Le Pen victory for the EU
3317__aggregate,"Ok when i said that the media is a bit into sucking Macron proverbial dick didnt meant it like that.

Also i propose to rename this sub to the /r/the_macron ",[],The author expresses a personal opinion and humor about the media’s bias without expressing moral sentiment.
3747__aggregate,"Again, no kids are following Le Pen on twitter.  Either way it shouldn't be a criminal matter on either TV or the internet.  ",[],The author's statement focuses on factual observations and opinions about how information should be treated
3793__aggregate,"Don't forget that Macron's Prime Minister comes from LR, and that quite a few in LR say they are willing to work with Macron - Juppé and those near him. Ideologically, they are not that far from each other. However LR have been clear and unanimous in their condemnation of the FN (More so than Mélenchon, who gets some Flak for it).",[],"The author provides an analysis of political alignments and ideological positions, without expressing moral sentiment."
3888__aggregate,"Since went did Macron told that we wanted to increase imigration of homophobic people? 
Another point: a win of Le Pen would certainly increase the homophobic crimes from the non Muslims. Kind like Brexit did with increasing xenophobic attacks. An homophobic government makes it easier for homophobic people to express themselves. ","['Care', 'Equality']","The speaker is worried about the safety and well-being of marginalized groups and emphasizes the importance of a government that supports and protects all individuals, regardless of their background, promoting equality and discouraging discrimination, expressing care and equality."
4288__aggregate,"&gt;fight the root causes of mass migration

Macron is going to oppose the imperialism and unending oil wars of the United States? I'll believe it when I see it.",[],The author expresses skepticism about Macron's potential actions regarding U.S. foreign policy
4318__aggregate,"&gt; And the inclusion of Jaroslaw Kaczynski in the ranks of 'Le Pen's friends who break numerous freedoms' is improper and highly unsuitable.""

Once again, PiS is not sorry for their actions but for getting caught &amp; called out... &gt;_&gt;",[],The statement doesn’t convey a moral sentiment because it criticizes a political group (PiS) for their lack of genuine remorse
4345__aggregate,Was Macron called a communist KGB agent with nazi parents who is an acting member of the free masons? I dont think anyone will beat Hofer v VdB in pure absurdity of allegations any time soon. Well other than south korea where the allegations turned out to be true....,[],"The author discusses the absurdity of allegations made against political figures in a humorous or sarcastic way, expressing no moral sentiment."
