id,text,label,cot
ed2jmoc__aggregate,My hero!,['admiration'],Someone might have helped the author with a difficult task and thus the author expresses their admiration
ed3e2yk__aggregate,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed433ik__aggregate,This isn’t a “someone” this is a company.,['anger'],The speaker is annoyed with their team for not following formal procedures as a company and is hence angry. 
ed6gk3y__aggregate,"Cheers, brother. What are you doing to meet women? ","['joy', 'surprise']","The author is asking someone what they are doing to meet women, expressing joy and surprise"
ed71ia9__aggregate,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is agreeing with someone with regards to the bad performance of their sports team due to silly mistakes, expressing annoyance at the team and hence their anger."
ed9pt91__aggregate,KAT doesn't play defense lol,['joy'],"The author says KAT always goes for the offence, expressing their amusement and hence their joy."
edbmttd__aggregate,I think you misunderstood me. I wanted to say that it was beyond stupid 😊,"['admiration', 'sadness', 'anger']","The author is trying to clarify their previous statement was meant to be more critical, expressing their annoyance, dissapointment, realization and hence anger, sadness, admiration"
edfdv2z__aggregate,She’s still not gonna message you dude I promise,"['optimism', 'admiration']","The author informs someone, who might be overly optimistic or persistent about receiving a message from another person expressing his care and approval hence optimism and admiration."
ednxvsk__aggregate,So edgy. 1/10 Try again. You can put a little more effort into your trolls.,"['optimism', 'anger']","The author is dismissing someone’s attempt at being provocative expressing their annoyance and hence anger and is encoraging to do better, expressing optimism."
edo5mqq__aggregate,Oh cool. Did everything else that got listed not happen either?,"['joy', 'surprise']","The author is curiously wanting to know if the other tasks or events were also overlooked or forgotten. The joyful tone might be reflected in the casual, almost teasing way the question is phrased. Therefore expressing joy and surprise."
edoa90h__aggregate,That escalated quickly.,['admiration'],"The author didn't expect things to progress or change so dramatically in such a short amount of time, reflecting their sudden realization and hence admiration."
edtnbd8__aggregate,"It's hard to try to evaluate yourself, but I appreciate you trying.",['admiration'],Someone is putting in the effort in self-assesment and the author expresses their admiration of the attempt.
eduqnet__aggregate,but this girl said no make out lmao she just want a cuddle buddy till marriage XD,['joy'],The girl in the relationship is setting up boundaries which the author finds amusing and hence expressing their joy.
ee0kq94__aggregate,The one in WA state. For some reason Vancouver BC is really close to Vancouver WA. It's weird,['anger'],"The author is saying the two cities with the same name are too close to each other, expressing their disgust and hence anger"
ee0oizz__aggregate,I wish. Chalk it up to a brain fart,['optimism'],the author desires or regrets something that didn’t happen due a lapse in memory expressing desire and hence their optimism
ee1xh0r__aggregate,We really need to go on some sort of winning streak,['optimism'],The author is expressing their desire to improve their performance showing optimism 
